K Size,SSE Score,MSC Score
2,767.9546008024927,0.0063610783287521705
3,744.7045644441333,0.007206187810077628
4,728.4830837716023,0.008478022068167147
5,727.6331701332448,0.008120414462908288
6,709.4177556222612,0.008716259454391155
7,697.3877943882379,0.01107057147815722
8,688.4355874367892,0.011281668369935896
9,675.4963529167406,0.013902731418085623
10,672.5798322883248,0.014940075458196127
